ProductID,ProductName,Category,Price
1,Hospital,Home Appliances,"1,288.00"
2,Authority,Electronics,497.00
3,Move,Clothing,816.00
4,Raise,Books,"1,381.00"
5,Growth,Electronics,606.00
6,Actually,Electronics,"1,380.00"
7,Time,Home Appliances,720.00
8,Kitchen,Home Appliances,717.00
9,Test,Clothing,"1,283.00"
10,Might,Books,991.00
11,Born,Home Appliances,758.00
12,Lead,Electronics,"1,476.00"
13,High,Books,"1,334.00"
14,Prove,Books,921.00
15,Vote,Electronics,322.00
16,Them,Home Appliances,534.00
17,Machine,Electronics,512.00
18,Second,Books,822.00
19,Claim,Beauty,"1,413.00"
20,Learn,Beauty,386.00
